Name,Date Created,Status
make things interesting enough for me,"June 15, 2022 8:57 AM",To Do Later
Do backup of telegram channel,"June 15, 2022 4:33 AM",To Do Later
Find a way to make blogs with hugo / Find cool template,"June 15, 2022 4:33 AM",To Do Later
Make a “about” page,"June 15, 2022 4:34 AM",To Do Later
Learn more about notion,"June 15, 2022 4:35 AM",To Do Later
"Make todo & watch list ","June 15, 2022 4:35 AM",To Do Later
check if github backup works fine after few period of time,"June 15, 2022 4:36 AM",To Do Later
,"June 15, 2022 4:53 AM",
